Brand;Vehicle;Motorisation;Fuel;StartDate;EndDate;Battery_AGM;Battery_EFB;Battery_Conventional
KUGA I MONDEO;3 (E46);;Diesel;1999-10;;F43;FL1000;F10
KUGA I MONDEO;KA+ (UK, FK);1.3 i;Petrol;1996-09;;;F3;
KUGA I MONDEO;3 (E90);;Diesel;2005-09;;F43;FL1000;F10
KUGA I MONDEO;III (B5Y);1.2, 1.2 Ti-VCT;Petrol;2016-06;;;F3;
KUGA I MONDEO;5 (E39);;Diesel;1997-01;;F43;FL1000;F10
KUGA I MONDEO;X1 (E84);;Diesel;2009-09;;F7;F32;
KUGA I MONDEO;RANGER (TKE);3.2 TDCi 4x4;Diesel;2011-04;;;FL752;
KUGA I MONDEO;X3 (F25);;Diesel;2010-09;;F42;;
KUGA I MONDEO;Box (E_ _) TRANSIT Box;2.5 DI, 2.5 TD, 2.5 TDI;Diesel;1991-05;;F8;FL652;
KUGA I MONDEO;X5 (E70);3.0 D, 3.0 sd, xDrive 30 d, xDrive 35 d, xDrive 40 d;Diesel;2007-02;;F43;FL1000;F10
KUGA I MONDEO;;120,  1.6 HDi 110, 1.6 HDi 115";Diesel;2008-04;;F4;F31;
KUGA I MONDEO;TRANSIT CONNECT (P65_, P70_, P80_);1.8 DI, 1.8 TDCi;Diesel;2002-06;;F8;FL652;
KUGA I MONDEO;Hatchback (FN, FK)";2.2 CTDi;Diesel;2005-09;;F7;F32;
KUGA I MONDEO;BERLINGO / BERLINGO FIRST MPV (MF, GJK, GFK);1.6 HDI 90, 1.9 D;Diesel;1996-07;;F4;F31;
KUGA I MONDEO;BERLINGO / BERLINGO FIRST MPV (MF, GJK, GFK);2.0 HDI 90 (MFRHY)                                             Diesel     1999-12 2005-10;2.0 HDI 90 (MFRHY)                                             Diesel     1999-12 2005-10;1999-12;;F42;;
KUGA I MONDEO;ix35 (LM, EL, ELH) | TUCSON;2.0 CRDi 4WD;Diesel;2010-01;;;FL955;
KUGA I MONDEO;BERLINGO / BERLINGO FIRST MPV (MF, GJK, GFK);1.4 i, 1.6 16V;Petrol;1996-07;;;F30;F1
KUGA I MONDEO;SANTA FÉ I (SM);2.0 CRDi, 2.0 CRDi 4x4;Diesel;2001-08;;;FL954;
KUGA I MONDEO;BERLINGO Box (K9)                BlueHDi 100                                                        Diesel     2018-06                      F41;BERLINGO Box (K9)                BlueHDi 100                                                        Diesel     2018-06                      F41;BERLINGO Box (K9)                BlueHDi 100                                                        Diesel     2018-06                      F41;2018-06;;;F31;
KUGA I MONDEO;;HDi / BlueHDi 75, 1.6 HDi 90";Diesel;2010-07;;F41;F31;
KUGA I MONDEO;TUCSON (JM);2.0 CRDi /  All-wheel Drive;Diesel;2004-08;;;FL954;
KUGA I MONDEO;BERLINGO Platform/ Chassis (B9);1.6 HDi 90 16V;Diesel;2008-04;;;F31;
KUGA I MONDEO;C1 II (PA_, PS_);1.0 VTi 68, 1.0 VTi 72, 1.2 VTi 82;Petrol;2014-04;;;F31;F1
KUGA I MONDEO;;;Diesel;1999-05;;;FL1000;
KUGA I MONDEO;CEE'D SW (ED);1.6 CRDi 90 / 115;Diesel;2007-09;;;F32;
KUGA I MONDEO;C2 (JM_);1.1, 1.4, 1.4 16V,;Petrol;2006-06;;;F30;F1
KUGA I MONDEO;C3 AIRCROSS II (2R_, 2C_);1.2 PureTech 82, 110, 130;Petrol;2017-06;;;F31;
KUGA I MONDEO;C3 I (FC_, FN_);1.1 i, 1.4 i, 1.4 16V, 1.6 16V;Petrol;2002-02;;;F31;F1
KUGA I MONDEO;PICANTO (JA)";1.0, 1.2                                                       Petrole   2017-03;1.0, 1.2                                                       Petrole   2017-03;2017-03;;F40;;
KUGA I MONDEO;C3 II (SC_);1.1, 1.4, 1.0 VTi 68, 1.2 VTi 82, 1.6 VTi 120;Petrol;2012-08;;;F30;F1
KUGA I MONDEO;C3 III (SX)                         1.6 BlueHDi 75, 1.6 BlueHDi 100                Diesel     2016-07";C3 III (SX)                         1.6 BlueHDi 75, 1.6 BlueHDi 100                Diesel     2016-07";C3 III (SX)                         1.6 BlueHDi 75, 1.6 BlueHDi 100                Diesel     2016-07";2016-07;;F40;;
KUGA I MONDEO;C3 III (SX);1.2 THP 110, 1.2 VTi 68, 1.2 VTi 82;Petrol;2016-07;;F41;F30;F1
KUGA I MONDEO;RIO III (UB) SORENTO I;1.2 CVVT;Petrol;2014-11;;F4;F31;
KUGA I MONDEO;;HDi 110, 1.6 HDi 115";Diesel;2010-05;;F41;;
KUGA I MONDEO;QLE) SPORTAGE (SL);1.7 CRDi, 2.0 CRDi;Diesel;2015-09;;F42;;
KUGA I MONDEO;VENGA (YN);1.7 CRDi                                                   Diesel     2010-12;1.7 CRDi                                                   Diesel     2010-12;2010-12;;F42;;
KUGA I MONDEO;C3 Picasso (SH_);1.2 THP 110;Petrol;2015-01;;F41;;
KUGA I MONDEO;YPSILON (312_);0.9 TwinAir, 1.2;Petrol;2011-05;;;F31;
KUGA I MONDEO;FREELANDER (L314);2.0 DI 4x4, 2.0 Td4 4x4;Diesel;1998-02;;F7;F32;
KUGA I MONDEO;C3 Pluriel (HB_);1.4 HDi;Diesel;2004-04;;;F30;F1
KUGA I MONDEO;;1.6 HDi 90, 1.6 BlueHDi 100;Diesel;2014-09;;F41;;
KUGA I MONDEO;;1.2 THP 110;Petrol;2014-09;;F41;;
KUGA I MONDEO;;BlueHDi 150";Diesel;2013-06;;F41;;
KUGA I MONDEO;A-CLASS (W168);;Petrol;1997-07;;F4;F31;
KUGA I MONDEO;C4 I (LC_);1.4 16V, 1.6 16V;Petrol;2004-11;;;F30;F1
