Brand;Vehicle;Motorisation;Fuel;Start;End;Battery_AGM;Battery_EFB;Battery_Conventional
ALFA ROMEO;147 (937_);1.9 JTDM 8V, 1.9 JTDM,  16V;Diesel;2001-04-01;2010-03-01;;F32;
ALFA ROMEO;GIULIETTA (940_)1.6 JTDM, 2.0 JTDM;1.9 JTDM 16V, 1.9 JTDM 16V;Diesel;2010-04-01;;;F31;
AUDI;MITO (955_)1.3 MultiJet, 1.6 JTDM;A11.6 TDI;Diesel;2010-05-01;2015-04-01;F40;F31;
AUDI;2010-052015-04;A1,   A1  Spo  rtback1.2 TFSI;Petrol;2011-03-01;2018-10-01;F40;F32;
AUDI;2010-052018-10;A1,   A1  Spo  rtback 1.0 TFSI, 1.4 TFSI;Petrol;;;;F31;
AUDI;(8PA);TDI 16V, 2.0 TDI 16V quattro;Diesel;1996-09-01;2013-03-01;;F32;
AUDI;TDI quattro, 30 TDI (1.6);1.6 TDI, 1.6 TDI quattro, 2.0 TDI, 2.0;Diesel;2012-10-01;;;F32;
AUDI;(8TA);2.7 TDI, 3.0 TDI quattro;Diesel;2007-06-01;2012-03-01;F44;;
AUDI;Avant (4B5, C5, 4F5, C6);quattro 3.0   TDI    quattro;Diesel;1997-07-01;2018-09-01;;FL800;
AUDI;(2.0);2.0 TDI,    2.0 TDI  quattro, 35 TDI  quattro;Diesel;2011-06-01;;F42;F32;
AUDI;1 (E81)116 d, 118 d, 120 d;BMW;Diesel;2006-09-01;;F42;FL1050;
AUDI;3 (E36)325 td, 325 tds;214 d, 216 d, 218 d;Diesel;1991-09-01;1998-02-01;;FL1000;
AUDI;X3 (E83)2.0 D;sDrive 16 d, sDrive 18 d, sDrive 20;Diesel;2004-09-01;2008-08-01;;FL800;
AUDI;X5 (E70);3.0 D, 3.0 sd, xDrive 30 d, xDrive 35;Diesel;2007-02-01;2013-07-01;;FL1000;
CHRYSLER;BERLINGO (B9);120,  1.6 HDi 110, 1.6 HDi 115;Diesel;2008-04-01;2010-12-01;F41;;
CHRYSLER;(M_);1.6 HDI 75, 1.6 HDI 90, 1.9 D 70, 2.0;Diesel;1996-07-01;2011-12-01;;F31;
BERLINGO FIRST MPV;BERLINGO Box (B9);HDi / BlueHDi 75, 1.6 HDi 90;Diesel;2010-07-01;2011-12-01;F41;;
BERLINGO FIRST MPV;C3 II (SC_);110, 1.6 BlueHDi 75, 1.6 BlueHDi 100;Diesel;2009-11-01;2009-12-01;F41;;
BERLINGO FIRST MPV;C3 II (SC_);1.1,  1.4,  1.0 VT i 68, 1.2 VTi   82, 1.6 VT i 120;Petrol;2012-08-01;2016-09-01;;F30;
BERLINGO FIRST MPV;C4 Grand Picasso I (UA_);2.0 HDi 150, 2.0 HDi 165;Diesel;2006-10-01;2013-12-01;F41;;
BERLINGO FIRST MPV;C4 Grand Picasso II;C4 Grand Picasso II1.2 THP 130, 1.6 THP 165, 1.6 VTi 120;Petrol;2013-09-01;;F41;;
BERLINGO FIRST MPV;C4 Picasso I MPV (UD_)1.6 HDi 110;C4 Picasso II1.2 THP 130, 1.6 THP 165, 1.6 VTi 120;Petrol;2013-02-01;2013-08-01;F41;;
BERLINGO FIRST MPV;C5 III (RD_);BlueHDi 150, 2.0 HDi 165 / 180 / 200;Diesel;2009-04-01;2004-08-01;F41;;
BERLINGO FIRST MPV;C5 III Break (RW_);165 / 180, 2.2 Hdi 200, 3.0 Hdi 240;Diesel;2008-02-01;;F41;;
BERLINGO FIRST MPV;C-CROSSER (EP_);1.6 HDi 90 / 110 / 115, 1.6 BlueHDi 120;Diesel;2009-11-01;2015-07-01;F41;;
BERLINGO FIRST MPV;DS3;1.6 THP 155, 1.6 VTi 120;Petrol;2010-04-01;2015-03-01;;F30;
BERLINGO FIRST MPV;DS5;1.6 HDi 115 / 135 / 165, 2.0 BlueHDi;Diesel;2011-11-01;2015-07-01;F41;;
RE LAY;JUMPER Box (244) |;2.2 HDi 100;Diesel;2006-04-01;;F44;;
RE LAY;JUMPER Platform/;2.2 HDi 110 / 110 / 120 / 130 / 150, 3.0;Diesel;2006-04-01;;F44;FL1050;
DISPATCH;NEMO Box (AA_)1.3 HDi 75, 1.4 Hdi;NEMO Estate1.3 HDi 75 / 80, 1.4 HDi;Diesel;2009-04-01;2006-10-01;F41;FL1050;
DISPATCH;Hatchback (N3_);2.0 HDI;Diesel;1999-12-01;2005-08-01;F41;;
DACIA;DOKKER (KE_)1.2 Tce, 1.6;1.6 16V, 1.8 16V;Petrol;2012-11-01;2011-12-01;;F30;
DACIA;DUSTER (HS_)1.2 TCe 125, 4x4, 1.6 Sce 115;DUSTER Box1.5 dCi, 4x4;Diesel;2011-04-01;2018-01-01;;F31;
DACIA;LOGAN MCV (KS_)1.5 dCi;LOGAN MCV IITCe 90;Petrol;2013-02-01;;;F30;
DACIA;Gas (LPG);SANDERO1.2 16V LPG, 1.4 MPI LPG;Petrol;2008-11-01;;;F30;
FIAT;500   (31 2_)1.3 D Multijet;BlueHDi 150,    2.0  BlueHDi 180;Diesel;2007-10-01;;;F31;
FIAT;DUCATO Box (244_)2.0 JTD, 2.3 JTD;Power, 2.8 TD;Diesel;2002-04-01;2002-04-01;;F32;
FIAT;DUCATO Box (250_,;3.0 D;Diesel;2011-06-01;;;F32;
FIAT;DUCATO Box (250_,;290_);Diesel;2006-07-01;;;FL1000;
FIAT;Chassis (250_, 290_);115 Multijet 2.0 D, 130 Multijet 2.3 D;Diesel;2006-07-01;;F43;F32;
FIAT;GRANDE PUNTO (199_)1.4, 1.4 16V, 1.4 T-Jet;2005-062015-12;Petrol;;;;F30;
FIAT;MULTIPLA (18 6_);JTD   115;Diesel;1999-04-01;2010-06-01;;F32;
PANDA CLASSIC;1.2 (169AXF2A, 169AXF1A);2010-032013-08;Petrol;;;;F31;
PANDA CLASSIC;PANDA (312_, 319_)0.9, 0.9 4x4 , 1.2;2012-02;Petrol;;;;F31;
FORD;STILO (19 2_)1.9 JTD;1.8 TDCi, 2.0 TDCi;Diesel;2007-02-01;2010-09-01;;FL652;
ECOSPORT;C-MAX (DM2);1.0 EcoBoost;Petrol;;;;FL652;
ECOSPORT;FIESTA V (JH_, JD_);1.4 TDCi, 1.5 TDCi;Diesel;2009-01-01;2008-06-01;;FL652;
ECOSPORT;2008-06;1.0, 1.0 EcoBoost, 1.0 Sport, 1.6 Ti;Petrol;;;;FL652;
ECOSPORT;FIESTA VI (CB1, CCN);1.6 TDCi;Diesel;2010-02-01;;;FL652;
KUGA I  MONDEO;III  (B5Y);2.0 16V DI / TDDi / TDCi;Diesel;2000-10-01;2012-11-01;;FL652;
KUGA I  MONDEO;RANGER (TKE)3.2 TDCi 4x4;1.8 16V;Diesel;2011-04-01;;;FL752;
KUGA I  MONDEO;(FA_ _);2.2 TDCi, 2.4 Di, 2.4 TDCi, 2.4 TDE;Diesel;2000-01-01;2014-08-01;;FL752;
TRANSIT CONNECT;(P65_, P70_, P80_);1.8 DI, 1.8 TDCi;Diesel;2002-06-01;2013-12-01;;FL652;
CIVIC VIII;Hatchback (FN,    FK);2.2 CTDi;Diesel;2005-09-01;;;F32;
HYUNDAI;GETZ (TB)1.1, 1.3 i;1.2, 1.3 i;Petrol;2002-09-01;2009-06-01;;F30;
TUCSON;ix35 (LM, EL, ELH) |;2.0 CRDi 4WD;Diesel;2010-01-01;2016-12-01;F42;FL955;
TUCSON;SANTA FÉ II (CM);2.2 CRDi, 2.2 CRDi 4x4,   2.2 CRDi;Diesel;2006-03-01;2009-12-01;;FL954;
IVECO;TUCSON (TL, TLE)1.7 CRDi;DAILY III Box Body /;Diesel;1999-05-01;2007-07-01;;FL1000;
IVECO;DAILY III Platform/;Chassis;Diesel;1999-05-01;2006-04-01;;FL1000;
JEEP;RENEGADE Closed;1.6 CRDi 90 / 115;Diesel;2007-09-01;2012-12-01;;F32;
JEEP;VENGA (YN);1.4 CRDi 90, 1.6 CRDi 115;Diesel;2010-02-01;;;F32;
RANGE ROVER;A-C LASS   (W168)A 160 CDI, A 170 CDI;2.0 D / 4x4;Diesel;1998-07-01;2004-08-01;F41;F31;
RANGE ROVER;B-CLASS (W245);A 160, A 180, A 200, A 250;Diesel;2005-03-01;2011-11-01;F41;;
RANGE ROVER;B-CLASS (W246, W242);B 160 CDI / d, B 180 CDI, B 200 CDI /;Diesel;2011-11-01;;F41;;
RANGE ROVER;C-CLASS (W202);C 200 CDI, C 220 CDI, C 220 D, C 250;Diesel;1993-05-01;2000-05-01;F41;;
RANGE ROVER;C-CLASS (W204);C 200 CDI, C 220;Diesel;2007-01-01;2009-12-01;F41;;
RANGE ROVER;C-CLASS (W205);C 180 CDI, C 200 CDI, C 250;Diesel;2001-03-01;2008-05-01;F41;;
RANGE ROVER;(CL203) CLK   (C209);220 CDI, 270 CDI, 320 CDI;Diesel;2002-10-01;2009-05-01;F42;;
RANGE ROVER;E-CLASS (W210);E 200 CDI, E 220 CDI , E 290 Turbo-;Diesel;1996-03-01;2002-03-01;F41;;
RANGE ROVER;E-CLASS (W212);E 200 CDI / BlueTEC, E 220 CDI /;Diesel;2009-01-01;2008-12-01;F43;;
RANGE ROVER;GLA-CLASS   (X156);GLA 200 CDI / d / 4-matic,;Diesel;2013-12-01;;F42;;
RANGE ROVER;M-C  LASS   (W163)ML 270 CDI, ML 400 CDI;ML 280 / 300 /320 / 350 CDI 4-matic;Diesel;2005-07-01;2011-12-01;F43;;
RANGE ROVER;(R231);M-CLASS;Petrol;2012-01-01;2015-12-01;F43;;
RANGE ROVER;(W639);313 CDI, 314 CDI, 316 CDI;Diesel;2003-09-01;;F42;;
RANGE ROVER;(W639);110 / 113 / 116 / 122 CDI;Diesel;2010-09-01;;F42;FL752;
RANGE ROVER;VITO Box (638);2.2, 110 D 2.3, 112 CDI 2.2;Diesel;1997-03-01;2003-07-01;F42;;
COUNTRYMAN;(R60);Cooper D / ALL4, One D;Diesel;2010-08-01;2016-10-01;F41;;
COUNTRYMAN;(R60);Cooper / S / S ALL4, One;Petrol;2010-08-01;2016-10-01;F41;;
MITSUBISHI;L 200 / TRITON (KA_T,;2.5 DiD / 4WD;Diesel;2005-11-01;2015-12-01;;FL954;
NISSAN;CABSTAR (F24M, F24W);DCI, 45.15 DCI 3.0;Diesel;2006-09-01;2013-12-01;;FL955;
