Brand;Vehicle;Motorisation;Fuel;Start;End;Battery_AGM;Battery_EFB;Battery_Conventional
ALFA ROMEO;147 (937_);JTD, 1.9 JTD 16V, 1.9 JTDM,;Diesel;2001-04-01;2010-03-01;;F31;
AUDI;A3 (8L1), A3 Convertible;A11.6 TDI;Diesel;2010-05-01;2018-10-01;F42;FL1000;
CHRYSLER;PT CRUISER (PT_);HDi    75,  1.6    HDi    75   16V,     1.6    HDi;Diesel;2002-03-01;2010-12-01;F41;F31;
BERLINGO FIRST MPV;(MF,    GJK,    GFK);HDI 90, 1.9 D;Diesel;1996-07-01;2008-05-01;;;
BERLINGO FIRST MPV;(MF,    GJK,    GFK);HDI 90 (MFRHY);Diesel;1999-12-01;;;;
BERLINGO FIRST MPV;(MF,    GJK,    GFK);i, 1.6 16V;Petrol;1996-07-01;2011-12-01;F41;F30;
RE LAY;JUMPER Box (244) |;HDI / 4x4;Diesel;2002-04-01;;;;
RE LAY;JUMPY Box (V_) |;HDI;Diesel;2002-04-01;;F44;FL1050;
DISPATCH;(BU_, BV_,   BW_,    BX_)   |;BlueHDi 95 / 115, 2.0 BlueHDi;Diesel;2016-04-01;;;;
DISPATCH;NEMO Box (AA_);TD, 2.0 HDi 95 / 110;Diesel;1999-10-01;2006-10-01;F41;;
DACIA;DOKKER (KE_);DUSTER (HS_)1.5 dCi;Petrol;2012-11-01;;;F30;
FIAT;500   (31 2_);500   (31 2_)1.3 D Multijet;Petrol;2007-07-01;;;F31;
FIAT;DUCATO Box (244_);JTD, 2.8 JTD 4x4, 2.8 JTD;Diesel;2005-06-01;2015-12-01;F43;F32;
PANDA CLASSIC;;PANDA (312_, 319_)0.9, 0.9 4x4 , 1.2;Petrol;2010-03-01;2013-08-01;;F32;
FORD;C-MAX (DM2);TDCi, 2.0 TDCi;Diesel;2007-02-01;2010-09-01;;FL652;
ECOSPORT;FIESTA  IV   (JA_,    JB_);EcoBoost;Petrol;2001-11-01;2008-06-01;;FL652;
KUGA I  MONDEO;III  (B5Y);16V DI / TDDi / TDCi;Diesel;2000-10-01;;;FL752;
TRANSIT CONNECT;(P65_, P70_, P80_);DI, 1.8 TDCi;Diesel;2002-06-01;2013-12-01;;FL652;
CIVIC VIII;Hatchback (FN,    FK);CTDi;Diesel;2005-09-01;;;F32;
HYUNDAI;GETZ (TB);GETZ (TB)1.1, 1.3 i;Diesel;2003-03-01;2009-06-01;F42;F30;
TUCSON;ix35 (LM, EL, ELH) |;CRDi;Diesel;2010-11-01;;;;
TUCSON;MATRIX (FC);CRDi 4WD;Diesel;2010-01-01;;;FL954;
JEEP;CEE'D SW (ED);CRD;Diesel;2014-07-01;;;F32;
RANGE ROVER;EVOQUE (L538);D / 4x4;Diesel;2015-06-01;;F42;FL752;
NISSAN;CABSTAR (F24M, F24W);DCI, 32.11 DCI, 35.11 DCI 2.5,;Diesel;2006-09-01;2013-12-01;F41;F32;
PRIMERA;Hatchback (P11);16V;Petrol;1996-09-01;2002-07-01;F41;FL955;
OPEL;AGILA (A) (H00);12V,    1.2 16V,    1.2 16V,    1.2;Petrol;2000-09-01;2007-12-01;F40;F30;
OPEL;CROSSLAND X (P17);KARL (C16)1.0;Petrol;2017-03-01;;F41;FL652;
PEUGEOT;1007 (KM_);Vti, 1.0 VTi 72, 1.2;Petrol;2011-02-01;2016-08-01;F41;F32;
RANCH;PARTNER Box (K9);HDi 75 / 90, 1.9 D, 2.0 HDI;Diesel;1996-05-01;2015-12-01;F41;F31;
RENAULT;CAPTUR (J5_, H5_);CAPTUR (J5_, H5_)0.9 TCe 90, 1.2 TCe 120;Diesel;1998-09-01;2009-06-01;F41;F31;
KANGOO BE BOP;(KW0/1_);dCi / 75;Diesel;2009-06-01;;F41;FL652;
LAGUNA II;Grandtour (KG0/1_);dCi, 2.0 dCi;Diesel;2001-03-01;2007-12-01;F41;FL652;
LAGUNA III;Grandtour (KT0/1);dCi;Diesel;2007-10-01;2015-12-01;;F32;
LAGUNA III;Grandtour (KT0/1);dCi (KT0A);Diesel;2007-10-01;2015-12-01;;FL1000;
RENAULT;Chassis (ED/HD/UD);D, 2.5 dCi 100 / 120, 2.8 dTI,;Diesel;1998-07-01;;F43;F30;
MEGANE II;(BM0/1_, CM0/1_);dCi  (BM0F,  BM0T,  BM2B, CM0F,;Diesel;2002-09-01;2008-06-01;;;
MEGANE II;(BM0/1_, CM0/1_);dCi;Diesel;2002-11-01;2009-12-01;;FL652;
MEGANE II;(BM0/1_, CM0/1_);16V, 1.6 16V;Petrol;2002-11-01;2008-02-01;F41;F31;
MEGANE III;Grandtour (KZ0/1);dCi (KZ09, KZ0D, KZ1G);Diesel;2009-02-01;;F41;;
MEGANE III;Grandtour (KZ0/1);dCi (KZ0C, KZ1A, KZ1M, KZ1W);Diesel;2009-03-01;;;F31;
MEGANE III;Hatchback (BZ0/1_);dCi  (BZ0C, BZ09, BZ0D, BZ1W);Diesel;2008-11-01;;;F31;
MEGANE III;Hatchback (BZ0/1_);dCi (BZ0N, BZ0J), 2.0 dCi (BZ0L);Diesel;2008-11-01;;F41;F30;
SEAT;ALTEA (5P1);IBIZA II (6K1)1.9 D / TDI / SDI;Diesel;2004-04-01;;F41;F30;
SKODA;FABIA II (542);OCTAVIA I (1U2)1.9 TDI;Diesel;2007-01-01;2014-12-01;F41;;
SMART;FORTWO Cabrio (451);FORTWO Coupe (450)0.7;Petrol;2007-01-01;;F40;F30;
GRAND VITARA II;(JT,    TE, TD);DDiS /  All-wheel Drive;Diesel;2006-03-01;2008-08-01;;F32;
COROLLA;AURIS (_E15_);D-4D;Diesel;2012-09-01;;;F31;
COROLLA;AURIS (_E15_) |;D-4D;Diesel;2007-03-01;2012-09-01;;F32;
COROLLA;AURIS (_E18_);Hybrid;Petrol;2012-10-01;2018-12-01;;F32;
