Brand;Vehicle;Motorisation;Fuel;Start;End;Battery_AGM;Battery_EFB;Battery_Conventional
ALFA ROMEO;147 (937_);1.9 JTD, 1.9 JTD 16V, 1.9 JTDM, 1.9 JTDM 8V, 1.9 JTDM, 16V;Diesel;2001-04-01;2010-03-01;;F32;F7
ALFA ROMEO;147 (937_);1.6 16V T.SPARK, ECO;Petrole;2001-01-01;2010-03-01;;F30;F1
ALFA ROMEO;159 (939_) / 159 Sportwagon (939_);1.9 JTDM 16V, 1.9 JTDM 16V;Diesel;2005-09-01;2011-11-01;;F32;F7
ALFA ROMEO;GIULIETTA (940_);1.6 JTDM, 2.0 JTDM;Diesel;2010-04-01;;;F32;
ALFA ROMEO;GIULIETTA (940_);1.4 TB;Petrole;2010-04-01;;;F31;
ALFA ROMEO;GT (937_);1.9 JTD;Diesel;2003-11-01;2010-09-01;;F31;F4
ALFA ROMEO;MITO (955_);1.3 MultiJet, 1.6 JTDM;Diesel;2008-08-01;;;F31;F4
AUDI;A1;1.6 TDI;Diesel;2010-05-01;2015-04-01;F40;F32;F4
AUDI;A1, A1 Sportback;1.4 TDI, 1.6 TDI;Diesel;2011-03-01;2018-10-01;;F32;
AUDI;A1, A1 Sportback;1.2 TFSI;Petrole;2010-05-01;2015-04-01;F40;;
AUDI;A1, A1 Sportback;1.0 TFSI, 1.4 TFSI;Petrole;2010-05-01;2018-10-01;;F31;
AUDI;A3 (8L1), A3 Convertible (8P7), A3 Sportback (8PA);1.6 TDI, 1.9 TDI, 2.0 TDI quattro, 2.0 TDI 16V, 2.0 TDI 16V quattro;Diesel;1996-09-01;2013-03-01;F41;F32;F7
AUDI;A3, A3 Sportback;1.6 TDI, 1.6 TDI quattro, 2.0 TDI, 2.0 TDI quattro, 30 TDI (1.6);Diesel;2012-10-01;;;F32;
AUDI;A4 (8D2, B5), A4 Avant (8D5, B5), A4 Convertible (8H7, B6, 8HE, B7);1.9 TDI, 2.0 TDI 16V, 2.5 TDI, 2.5 TDI quattro;Diesel;1995-01-01;2015-12-01;F41;F32;F7
AUDI;A5 (8T3), A5 Sportback (8TA);2.7 TDI, 3.0 TDI quattro;Diesel;2007-06-01;2012-03-01;F44;FL1050;
AUDI;A6 (4B2, C5, 4F2, C6, 4G2, 4GC, C7), A6 Avant (4B5, C5, 4F5, C6);2.5 TDI, 2.5 TDI quattro, 2.7 TDI, 2.7 TDI quattro 3.0 TDI quattro;Diesel;1997-07-01;2018-09-01;F42;FL800;F12
AUDI;Q3 (8UB, 8UG), Q3 (F3B) (2.0);2.0 TDI, 2.0 TDI quattro, 35 TDI quattro;Diesel;2011-06-01;;;F32;
