Brand;Vehicle;Motorisation;Fuel;Start;End;Battery_AGM;Battery_EFB;Battery_Conventional
CITROËN;BERLINGO (B9);1.6 HDi 75;Diesel;01/04/2008;;F41;;N/A
CITROËN;BERLINGO (B9);1.6 HDi 75 16V;Diesel;01/04/2008;;F41;;N/A
CITROËN;BERLINGO (B9);1.6 HDi 90;Diesel;01/04/2008;;F41;;N/A
CITROËN;BERLINGO (B9);1.6 BlueHDi 100;Diesel;01/04/2008;;F41;;N/A
CITROËN;BERLINGO (B9);1.6 BlueHDi 120;Diesel;01/04/2008;;F41;;N/A
CITROËN;BERLINGO (B9);1.6 HDi 110;Diesel;01/04/2008;;F41;;N/A
CITROËN;BERLINGO (B9);1.6 HDi 115;Diesel;01/04/2008;;F41;;N/A
CITROËN;BERLINGO Box (B9);1.6 BlueHDi 100;Diesel;01/07/2010;;F41;;N/A
CITROËN;BERLINGO Box (B9);1.6 BlueHDi 120;Diesel;01/07/2010;;F41;;N/A
CITROËN;BERLINGO Box (B9);1 75;Diesel;01/07/2010;;F41;;N/A
CITROËN;BERLINGO Box (B9);6 75;Diesel;01/07/2010;;F41;;N/A
CITROËN;BERLINGO Box (B9);75 75;Diesel;01/07/2010;;F41;;N/A
CITROËN;BERLINGO Box (B9);1.6 HDi 90;Diesel;01/07/2010;;F41;;N/A
CITROËN;C3 II (SC_);1.4 HDi 70;Diesel;01/11/2009;;F41;;N/A
CITROËN;C3 II (SC_);1.6 Hdi;Diesel;01/11/2009;;F41;;N/A
CITROËN;C3 II (SC_);1.6 HDi 90;Diesel;01/11/2009;;F41;;N/A
CITROËN;C3 II (SC_);1.6 HDi 110;Diesel;01/11/2009;;F41;;N/A
CITROËN;C3 II (SC_);1.6 BlueHDi 75;Diesel;01/11/2009;;F41;;N/A
CITROËN;C3 II (SC_);1.6 BlueHDi 100;Diesel;01/11/2009;;F41;;N/A
CITROËN;C3 III (SX);1.2 THP 110;Petrole;01/07/2016;;F41;;N/A
CITROËN;C3 III (SX);1.2 VTi 68;Petrole;01/07/2016;;F41;;N/A
CITROËN;C3 III (SX);1.2 VTi 82;Petrole;01/07/2016;;F41;;N/A
