ID,Brand,Model,ConstructionYearStart,ConstructionYearEnd,TypeConception,LightType,Position,Category,PartNumber,Notes,Source
1,"ABARTH","124 Spider","03/16","Present","Halogen","H11","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
2,"ABARTH","124 Spider","03/16","Present","Halogen","H15","Feu de route","feu_de_route","","","OSRAM CSV Guide"
3,"ABARTH","124 Spider","03/16","Present","Halogen","H15","Feux antibrouillard","feu_antibrouillard","","","OSRAM CSV Guide"
4,"ABARTH","124 Spider","03/16","Present","Halogen","W5W","Feux de route supplémentaires","feu_route_supplementaire","","","OSRAM CSV Guide"
5,"ABARTH","124 Spider","03/16","Present","Halogen","WY21W","Clignotant avant voiture","clignotant_avant","","","OSRAM CSV Guide"
6,"ABARTH","124 Spider","03/16","Present","Halogen","WY21W","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
7,"ABARTH","124 Spider","03/16","Present","Halogen","LED","Feux de stop","feu_stop","","","OSRAM CSV Guide"
8,"ABARTH","124 Spider","03/16","Present","Halogen","W5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
9,"ABARTH","124 Spider","03/16","Present","Halogen","6411","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
10,"ABARTH","124 Spider","03/16","Present","Halogen","-","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
11,"ABARTH","500 / 595 / 695","01/08","Present","> 2014, Halogen","H7","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
12,"ABARTH","500 / 595 / 695","01/08","Present","> 2014, Halogen","H1","Feu de route","feu_de_route","","","OSRAM CSV Guide"
13,"ABARTH","500 / 595 / 695","01/08","Present","> 2014, Halogen","W21","Feux antibrouillard","feu_antibrouillard","","","OSRAM CSV Guide"
14,"ABARTH","500 / 595 / 695","01/08","Present","> 2014, Halogen","W21","Feux de route supplémentaires","feu_route_supplementaire","","","OSRAM CSV Guide"
15,"ABARTH","500 / 595 / 695","01/08","Present","> 2014, Halogen","WY21W","Clignotant avant voiture","clignotant_avant","","","OSRAM CSV Guide"
16,"ABARTH","500 / 595 / 695","01/08","Present","> 2014, Halogen","PY21W","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
17,"ABARTH","500 / 595 / 695","01/08","Present","> 2014, Halogen","P21W","Feux de stop","feu_stop","","","OSRAM CSV Guide"
18,"ABARTH","500 / 595 / 695","01/08","Present","> 2014, Halogen","C5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
19,"ABARTH","500 / 595 / 695","01/08","Present","> 2014, Halogen","C5W","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
20,"ABARTH","500 / 595 / 695","01/08","Present","> 2014, Halogen","W5W","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
21,"ABARTH","500C / 595C / 695C","05/08","Present","> 2014, Halogen","H7","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
22,"ABARTH","500C / 595C / 695C","05/08","Present","> 2014, Halogen","H1","Feu de route","feu_de_route","","","OSRAM CSV Guide"
23,"ABARTH","500C / 595C / 695C","05/08","Present","> 2014, Halogen","W21","Feux antibrouillard","feu_antibrouillard","","","OSRAM CSV Guide"
24,"ABARTH","500C / 595C / 695C","05/08","Present","> 2014, Halogen","W21","Feux de route supplémentaires","feu_route_supplementaire","","","OSRAM CSV Guide"
25,"ABARTH","500C / 595C / 695C","05/08","Present","> 2014, Halogen","WY21W","Clignotant avant voiture","clignotant_avant","","","OSRAM CSV Guide"
26,"ABARTH","500C / 595C / 695C","05/08","Present","> 2014, Halogen","PY21W","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
27,"ABARTH","500C / 595C / 695C","05/08","Present","> 2014, Halogen","P21W","Feux de stop","feu_stop","","","OSRAM CSV Guide"
28,"ABARTH","500C / 595C / 695C","05/08","Present","> 2014, Halogen","C5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
29,"ABARTH","500C / 595C / 695C","05/08","Present","> 2014, Halogen","C5W","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
30,"ABARTH","500C / 595C / 695C","05/08","Present","> 2014, Halogen","W5W","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
31,"ABARTH","GRANDE PUNTO","12/07","12/12","Standard","H4","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
32,"ABARTH","GRANDE PUNTO","12/07","12/12","Standard","H4","Feu de route","feu_de_route","","","OSRAM CSV Guide"
33,"ABARTH","GRANDE PUNTO","12/07","12/12","Standard","-","Feux antibrouillard","feu_antibrouillard","","","OSRAM CSV Guide"
34,"ABARTH","GRANDE PUNTO","12/07","12/12","Standard","W5W","Feux de route supplémentaires","feu_route_supplementaire","","","OSRAM CSV Guide"
35,"ABARTH","GRANDE PUNTO","12/07","12/12","Standard","PY21W","Clignotant avant voiture","clignotant_avant","","","OSRAM CSV Guide"
36,"ABARTH","GRANDE PUNTO","12/07","12/12","Standard","P21W","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
37,"ABARTH","GRANDE PUNTO","12/07","12/12","Standard","P21","Feux de stop","feu_stop","","","OSRAM CSV Guide"
38,"ABARTH","GRANDE PUNTO","12/07","12/12","Standard","W5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
39,"ABARTH","GRANDE PUNTO","12/07","12/12","Standard","6411","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
40,"ABARTH","GRANDE PUNTO","12/07","12/12","Standard","-","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
